music_id,music_name,music_artist,music_difficulty
51,ＧＯ！ＧＯ！ラブリズム♥,片霧烈火オンザみんマンション,"[3, 6, 8.7, 11.8, '']"
57,Cyberozar,削除,"[4, 7, 10, 12.9, '']"
44,檄!帝国華撃団,真宮寺さくら（横山智佐）＆帝国歌劇団「サクラ大戦」,"[2, 5, 7.7, 11.4, '']"
52,Oshama Scramble!,t+pazolite,"[4, 7, 10, 13.7, '']"
53,心象蜃気楼,Orangestar,"[2, 6, 8, 12.2, '']"
58,AMAZING MIGHTYYYY!!!!,WAiKURO,"[4, 7, 11, 13.7, 15]"
69,Perfect Shining!!,曲：宮崎誠／歌：星咲 あかり(CV：赤尾 ひかる),"[3, 6, 8, 11.5, 13.8]"
54,Mare Maris,M2U,"[3, 6, 8, 12.5, 0]"
59,Gate of Doom,Masahiro “Godspeed” Aoki,"[4, 7.7, 10.7, 13.1, 0]"
45,The Formula,Junk,"[4, 7, 8.7, 12.7, '']"
47,Halcyon,xi,"[4, 7.7, 10.7, 13.4, 14.8]"
55,Hyper Active,HiTECH NINJA,"[4, 7.7, 11.2, 12.8, '']"
21,六兆年と一夜物語,kemu,"[3, 6, 8.7, 12.3, 14.1]"
19,天ノ弱,164,"[3, 5, 9, 11.9, '']"
22,千本桜,黒うさP,"[2, 6, 8.7, 11.9, '']"
56,天火明命,削除,"[3, 6, 9.7, 13.1, '']"
23,キミノヨゾラ哨戒班,Orangestar,"[3, 6, 9, 12.5, '']"
25,鬼KYOKAN,じーざすP（ワンダフル☆オポチュニティ！）,"[4, 6, 10.4, 12.9, '']"
48,オモイヨシノ,loos feat. 柊莉杏,"[3, 5, 9, 12, '']"
70,STARTLINER,曲：kz(livetune)／歌：オンゲキシューターズ,"[2, 5, 8.7, 11.2, 12.8]"
71,みんな Happy!!,曲：ヒゲドライバー／歌：藤沢 柚子(CV：久保田 梨沙),"[2, 5, 9, 11.5, 13.8]"
72,Zest of Blue,曲：上松範廉(Elements Garden)／歌：三角 葵(CV：春野 杏),"[3, 6, 9, 12, 13.6]"
74,Dolphika,HiTECH NINJA,"[3, 6, 10.7, 13.4, '']"
73,Here We Go,曲：TeddyLoid／歌：高瀬 梨緒(CV：久保 ユリカ),"[2, 5, 9, 12.6, 13.9]"
75,P！P！P！P！がおー!!,曲：Tom-H@ck／歌：結城 莉玖(CV：朝日奈 丸佳),"[4, 7.7, 10.7, 12.9, 14.7]"
76,タテマエと本心の大乱闘,曲：鯨井国家／歌：藍原 椿(CV：橋本 ちなみ),"[4, 6, 9.7, 11.8, 13.7]"
77,Ai Nov,Feryquitous,"[4, 7.7, 11, 13.9, '']"
78,ロッキンピンクモンスター,豚乙女,"[3, 7, 10.7, 13.2, '']"
79,ブツメツビーターズ,有形ランペイジ,"[3, 7, 9.7, 13.3, '']"
46,Brain Power,NOMA,"[4, 6, 9.7, 13.4, '']"
18,脳漿炸裂ガール,れるりり,"[3, 5, 10, 13.2, 14.4]"
24,木彫り鯰と右肩ゾンビ,hanzo/赤飯歌唱Ver,"[3, 6, 9.7, 12, '']"
62,We Gonna Journey,Queen P.A.L.,"[3, 7, 10.4, 13.5, '']"
27,初音ミクの激唱,Storyteller,"[4, 7.7, 11, 14.2, 14.2]"
80,SWEET SHAKE!!,曲：佐藤純一（fhána）／歌：桜井 春菜(CV：近藤 玲奈),"[2, 6, 8, 12.8, 13.8]"
61,Paqqin,owl＊tree,"[3, 6, 10.7, 13.1, '']"
81,What color...,曲：NAOKI／歌：早乙女 彩華(CV：中島 唯),"[2, 6, 8.7, 12.9, 14.5]"
63,閃鋼のブリューナク,sasakure.UK,"[4, 7.7, 10.7, 13.9, '']"
49,神威,TJ.hangneil,"[4, 8, 12.4, 14.3, '']"
83,Maqrite,owl＊tree,"[2, 6, 9, 13.6, '']"
82,Sword of Secret,"Cranky,Morrigan feat.Lily","[3, 7, 9.7, 13.4, '']"
84,Everlasting Today,void (Mournfinale),"[3, 7.7, 12.7, 14, '']"
60,First Twinkle,折戸伸治 feat.北沢綾香,"[2, 6, 8.7, 11.4, '']"
29,グリーンライツ・セレナーデ,Omoi feat. 初音ミク,"[3, 6, 9.7, 12.3, 13.4]"
33,Bad Apple!! feat.nomico,Masayoshi Minoshima,"[2, 5, 8, 12.7, '']"
36,幻想のサテライト,豚乙女,"[3, 7, 10.4, 12.9, '']"
35,Grip & Break down !!,SOUND HOLIC feat. Nana Takahashi,"[3, 6, 9, 12, '']"
34,ナイト・オブ・ナイツ,ビートまりお（COOL&CREATE）,"[3, 7, 9.7, 12.8, 13.9]"
85,GAME IS LIFE,曲：ヒゲドライバー／歌：井之原 小星(CV：ももの はるな),"[3, 7, 9.7, 12.9, 13.9]"
86,GranFatalité,曲：ZAQ／歌：柏木 咲姫(CV：石見 舞菜香),"[3, 7, 9, 12.5, 14.1]"
64,oboro,ヒゲドライバー,"[2, 6, 8.7, 12.9, '']"
50,Äventyr,Grand Thaw / Rigel Theatre,"[2, 5, 8.7, 13.1, '']"
65,7thSense,削除,"[4, 7.7, 11.7, 14, '']"
41,sweet little sister,Silver Forest,"[3, 6, 9, 13, '']"
37,Energy Booster ～ 上海紅茶館,激戦の人,"[3, 6, 9, 12.7, '']"
38,アクアテラリウム,森羅万象,"[2, 5, 8.7, 12.6, '']"
39,四次元跳躍機関,koutaq,"[2, 5, 8, 12.7, '']"
40,れみりあ☆デスティニー,ふぉれすとぴれお,"[3, 6, 9, 12.7, '']"
42,Destiny Runner,さわわ,"[3, 7, 10, 13.6, 14.5]"
43,最終鬼畜妹フランドール・Ｓ,ビートまりお（COOL&CREATE）,"[3, 7, 10.4, 13.4, '']"
30,砂の惑星 feat. HATSUNE MIKU,ハチ,"[2, 5, 9, 12.3, '']"
87,Dazzle hop,Sampling Masters MEGA,"[5, 9, 12.3, 14, '']"
88,YURUSHITE,t+pazolite,"[4, 9, 12.3, 14.8, '']"
66,今ぞ♡崇め奉れ☆オマエらよ！！～姫の秘メタル渇望～,あべにゅうぷろじぇくと feat.佐倉 紗織　produced by ave;new,"[3, 7, 9.7, 13.2, '']"
67,Kattobi KEIKYU Rider,Sampling Masters MEGA,"[3, 7.7, 10.7, 13.3, '']"
68,エンドマークに希望と涙を添えて,cosMo＠暴走P,"[4, 8.7, 11.8, 14.2, '']"
91,カミサマネジマキ,kemu,"[3, 7, 11.7, 13.7, '']"
93,幸せになれる隠しコマンドがあるらしい,うたたP,"[2, 7, 9.7, 13, '']"
94,チュルリラ・チュルリラ・ダッダッダ！,和田たけあき(くらげP),"[3, 7, 10, 12.8, '']"
92,いーあるふぁんくらぶ,みきとP,"[2, 5, 8, 12, '']"
98,GOODRAGE,EBIMAYO,"[4, 7.7, 11.5, 14, '']"
99,Dragoon,Shandy kubota,"[3, 6, 9, 12.8, '']"
100,月に叢雲華に風,幽閉サテライト,"[3, 6, 8.7, 11.9, '']"
108,Opfer,かねこちはる,"[4, 9, 13.6, 15, '']"
109,Titania,xi,"[5, 9.7, 13.2, 14.9, 0]"
106,怒槌,光吉猛修,"[5, 8.7, 12.9, 14.5, '']"
107,混沌を越えし我らが神聖なる調律主を讃えよ,穴山大輔,"[5, 8.7, 13, 14.3, '']"
110,HARMONIZE,日向 美海(CV：相坂 優歌)「アンジュ・ヴィエルジュ」,"[3, 6, 8, 12.3, '']"
117,こころここから,ふわりP,"[1, 5, 8.7, 12.6, '']"
118,ロボットプラネットユートピア,lumo,"[3, 7, 10.4, 13.4, 0]"
119,時の冒険者,40mP feat.シャノ,"[4, 7, 9.7, 12.9, '']"
130,Jump!! Jump!! Jump!!,曲：宮崎誠／歌：オンゲキシューターズ,"[3, 6, 9, 12.4, '']"
131,TAKE ON THE WORLD,REDALiCE,"[3, 7, 10, 13.3, '']"
132,TeA,ガリガリさむし,"[3, 7, 10.7, 13, '']"
133,fulgente,Junk,"[2, 6, 9, 13.4, '']"
126,ヒバナ,DECO*27,"[3, 7, 9.7, 12.4, 14.1]"
127,ロキ,みきとP,"[3, 6, 9.7, 12.8, 14]"
128,クイーンオブハート,奏音69×巡音ルカ,"[4, 7.7, 10.7, 13.7, '']"
129,Calamity Fortune,LeaF,"[4, 8, 12.2, 13.7, 14.1]"
138,本能的 Survivor,曲：eba／歌：⊿TRiEDGE [高瀬 梨緒(CV：久保 ユリカ)、結城 莉玖(CV：朝日奈 丸佳)、藍原 椿(CV：橋本 ちなみ)],"[3, 7, 9.7, 13, 13.9]"
136,アンハッピーリフレイン,wowaka,"[4, 7, 11.3, 13, '']"
137,DAYBREAK FRONTLINE,Orangestar,"[2, 6, 9, 13.1, '']"
139,MEGATON BLAST,BlackY vs. Yooh,"[5, 9, 13, 14.6, '']"
140,初音ミクの消失,cosMo＠暴走P,"[4, 8, 11.7, 13.7, '']"
141,炉心融解,iroha(sasaki)／kuma(alfred),"[3, 7, 9, 11.9, '']"
142,星屑ユートピア,otetsu,"[4, 7.7, 10.7, 12.9, '']"
143,Tell Your World,livetune,"[2, 6, 8.7, 12, '']"
144,＊ハロー、プラネット。,sasakure.UK,"[2, 6, 9.7, 12.2, '']"
145,からくりピエロ,40mP,"[1, 5, 8, 12.8, 13.2]"
146,Cream+Mint,KOTOKO,"[2, 5, 8, 11.4, '']"
147,Kiss Me Kiss,曲：大畑拓也／歌：bitter flavor [桜井 春菜(CV：近藤 玲奈)、早乙女 彩華(CV：中島 唯)],"[2, 6, 9.7, 12.7, '']"
148,Death Doll,SHIKI,"[3, 7, 11.2, 13.5, '']"
149,Chelly spLash♪♪,まらしぃ,"[5, 7.7, 10.7, 13.3, '']"
150,Sakura Fubuki,Street,"[0, 0, 0, 0, 13.7]"
151,オンゲキ全域★アカネサマ？,曲：MOSAIC.WAV／歌：逢坂 茜(CV：大空 直美),"[4, 7, 10.7, 13.3, '']"
153,Lost Princess,ペコリーヌ（M・A・O）、コッコロ（伊藤美来）、キャル（立花理香）「プリンセスコネクト！Re:Dive」,"[2, 5, 9, 11.3, '']"
157,アリサのテーマ,池頼広「Shadowverse」,"[2, 6, 9.7, 13.6, '']"
158,Connecting Happy!!,ペコリーヌ（M・A・O）、コッコロ（伊藤美来）、キャル（立花理香）「プリンセスコネクト！Re:Dive」,"[3, 6, 9, 12, '']"
161,シャルル,バルーン,"[2, 5, 8.7, 12, '']"
160,ネ！コ！,パトリシア・オブ・エンド(CV:高森奈津美)・黒木未知(CV:仙台エリ)・夕莉シャチ(CV:浅川悠)・明日原ユウキ(CV:種﨑敦美)「ノラと皇女と野良猫ハート」,"[3, 6, 9, 12.4, 13.8]"
163,エピクロスの虹はもう見えない,SYNC.ART'S feat.美里,"[2, 6, 9, 13.4, 0]"
164,Sentimental Snow,霜月はるか,"[2, 5, 8, 11.7, '']"
165,めんどーい！やっほーい！ともだち！,曲：前山田健一／歌：7EVENDAYS⇔HOLIDAYS [井之原 小星(CV：ももの はるな)、柏木 咲姫(CV：石見 舞菜香)],"[3, 6, 9.7, 12.5, '']"
166,BOUNCE & DANCE,IOSYS TRAX,"[2, 7, 10.7, 13.3, '']"
167,心,削除 (Violin : Katali),"[3, 6, 9.7, 14.6, '']"
168,進捗どうですか？,sumijun(Halozy) feat. ななひら(Confetto),"[3, 6, 9.7, 12.3, '']"
169,東方妖々夢 ～the maximum moving about～,石鹸屋,"[3, 7, 10, 12.3, '']"
171,妖狐仙楽踏,片霧烈火＆橋本鏡也,"[2, 6, 10.7, 13.5, '']"
170,寒想桜,あ～るの～と（いえろ～ぜぶら）,"[2, 5, 8.7, 12.1, '']"
172,Necro Fantasia,Masayoshi Minoshima,"[3, 6, 9, 12.8, '']"
174,櫻結び,IOSYS,"[3, 6, 9, 12.3, '']"
173,Colors,REDALiCE feat.野宮あゆみ,"[2, 5, 8, 12.1, '']"
175,Melody！,あ～るの～と（いえろ～ぜぶら）,"[3, 6, 8.7, 12.6, '']"
176,Scream out! -音華鏡 Re:BREAK-,A-One,"[3, 7, 10.7, 13.4, '']"
177,conflict,siromaru + cranky,"[3, 7, 11.4, 13.8, '']"
178,UTAKATA,曲：ゆよゆっぺ／歌：九條 楓(CV：佳村 はるか),"[3, 6, 9, 13.1, 13.9]"
179,Rule the World!!,曲：八木雄一 feat. Marty Friedman／歌：逢坂 茜(CV：大空 直美),"[2, 6, 10, 12.7, 14.1]"
180,どうぶつ☆パラダイス,曲：村井大／歌：珠洲島 有栖(CV：長縄 まりあ),"[1, 5, 8, 12.1, 13.6]"
181,Y.Y.Y.計画!!!!,曲：烏屋茶房／歌：R.B.P. [九條 楓(CV：佳村 はるか)、逢坂 茜(CV：大空 直美)、珠洲島 有栖(CV：長縄 まりあ)],"[3, 7, 9.7, 12.3, '']"
186,39,sasakure.UK x DECO*27,"[3, 6, 8.7, 12.3, '']"
187,メルト,supercell,"[2, 5, 8, 12, '']"
191,Viyella's Tears,Laur,"[5, 9.7, 13.2, 14.8, '']"
190,Starring Stars,曲：馬渕直純／歌：ASTERISM [星咲 あかり(CV：赤尾 ひかる)、藤沢 柚子(CV：久保田 梨沙)、三角 葵(CV：春野 杏)],"[4, 6, 9, 12.5, 13.7]"
188,Garakuta Doll Play,t+pazolite,"[5, 8.7, 13, 14.3, '']"
189,The wheel to the right,Sampling Masters MEGA,"[4, 8, 12.2, 13.7, '']"
193,Aenbharr,Project Grimoire,"[4, 8, 12.6, 14.5, '']"
194,ω4,穴山大輔 VS 光吉猛修 VS Kai,"[5, 9.7, 13, 15, '']"
192,チルノのパーフェクトさんすう教室,ARM＋夕野ヨシミ (IOSYS) feat.miko,"[2, 6, 10.7, 13.3, '']"
198,光線チューニング,ナユタン星人,"[3, 6, 10, 12.8, '']"
195,ドーナツホール,ハチ,"[3, 7, 10.7, 13.2, '']"
196,人生リセットボタン,kemu,"[4, 7, 11.3, 13.3, '']"
197,妄想感傷代償連盟,DECO*27,"[1, 5, 8, 12.2, '']"
211,METEOR,DIVELA,"[3, 6, 8, 12.4, '']"
215,最強 the サマータイム!!!!!,曲：村カワ基成／歌：オンゲキシューターズ,"[3, 6, 9.7, 12.4, 13.6]"
216,まっすぐ→→→ストリーム！,曲：本多友紀（Arte Refact）／歌：日向 千夏(CV：岡咲 美保),"[3, 6, 9, 12.9, 14.5]"
